State,Area,Address,Store Name,Rating,Review Count,Store Status
Melaka,Masjid Tanah,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
Melaka,Masjid Tanah,"Address: FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Melaka ",McDonald's Dataran Pahlawan 2,4.1,,Operating
Melaka,Masjid Tanah,"Address: Utama MV, 75, Jalan Inang, 76450 3 ",McDonald's Bandar Utama Cheng,4.0,,Operating
Melaka,Masjid Tanah,"Address: Banda Hilir, 75000 Malacca ",McDonald's Kiosk Dataran Pahlawan,2.5,,Operating
Melaka,Masjid Tanah,"Address: Kampung Enam, 75300 Malacca ",McDonald's Jalan Tun Perak DT,2.7,,Operating
Melaka,Masjid Tanah,"Address: Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350 Hang Tuah Jaya, Malacca ",McDonald's Batu Berendam DT,4.1,,Operating
Melaka,Masjid Tanah,"Address: Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Malacca ",McDonald's Melaka Sentral,3.5,,Operating
Melaka,Masjid Tanah,"Address: Lot PT188, Pekan Klebang Sek. IV, Daerah, 75200 Malacca ",McDonald's Kota Laksamana DT,4.1,,Operating
Melaka,Masjid Tanah,"Address: GM 229, Lot 18859, Mukim Bertam, Daerah, 75260, Malacca ",McDonald's AMJ Bertam DT,4.2,,Operating
Melaka,Masjid Tanah,"Address: Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, Malaysia, Melaka, 75450 Malacca ",McDonald's Melaka Mall DT,4.0,,Operating
Melaka,Masjid Tanah,"Address: Mt 675, 78300 Masjid Tanah, Melaka ",KFC,4.0,,Operating
Melaka,Masjid Tanah,"Address: Lot 15702, Mukim Bukit Katil, Daerah Melaka Tengah, Hang Tuah Jaya, 75450, Malacca ",McDonald's MITC Melaka DT,4.2,,Operating
Melaka,Masjid Tanah,"Address: Lot 4985, Jalan Tun Hamzah, Mukim, 75450 Bukit Katil, Melaka ",McDonald's Petronas Bukit Katil DT,4.1,,No status
Melaka,Masjid Tanah,"Address: Sebahagian Lot 23344, Jalan Pantai Belimbing, 75260 Krubong, Malacca ",McDonald's Caltex Krubong DT,3.1,,No status
Melaka,Masjid Tanah,"Address: Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah, 75320 Ayer Keroh, Malacca ",McDonald's Taman Buaya DT,4.1,,Operating
Melaka,Masjid Tanah,"Address: Jalan Jasin - Melaka, 77000 Bemban, Melaka ",McDonald's Jasin DT,3.7,,Operating
Melaka,Alor Gajah,"Address: Lot A02, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Malacca ",McDonald's Dataran Pahlawan DT,4.0,,Operating
Melaka,Alor Gajah,"Address: FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jln Merdeka, 75000, Melaka ",McDonald's Dataran Pahlawan 2,4.1,,Operating
Melaka,Alor Gajah,"Address: Banda Hilir, 75000 Malacca ",McDonald's Kiosk Dataran Pahlawan,2.5,,Operating
Melaka,Alor Gajah,"Address: Kampung Enam, 75300 Malacca ",McDonald's Jalan Tun Perak DT,2.7,,Operating
Melaka,Alor Gajah,"Address: Plaza Melaka Sentral, Lot No. 59, Zone D, Ground Floor, 75000, Malacca ",McDonald's Melaka Sentral,3.5,,Operating
Melaka,Alor Gajah,"Address: Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, Malaysia, Melaka, 75450 Malacca ",McDonald's Melaka Mall DT,4.0,,Operating
Melaka,Alor Gajah,"Address: Lot PT188, Pekan Klebang Sek. IV, Daerah, 75200 Malacca ",McDonald's Kota Laksamana DT,4.1,,Operating
