State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Muar,"Address: No. PTD 17338 HS(D) 40911 Bandar Universiti Pagoh, 84500 Bukit Pasir, Johor Darul Ta'zim ",KFC Bandar Universiti Pagoh DT,4.1,(311),Operating
Johor,Muar,"Address: Kawasan Rehat Dan Rawat Pagoh Aras Selatan, KM 135.5, North-South Expy, 84600 Muar, Johor ",KFC RSA Pagoh,4.0,(741),Operating
Johor,Muar,"Address: LOT G26 & G27, GIANT HYPERMARKET MUAR, Jalan Kesang, Kawasan Perindustrian Tanjung Agas, 84000 Muar, Johor ",KFC NSK Muar,3.6,(253),Operating
Johor,Muar,"Address: 4, Jln Gambir 5, Bandar Baru Bukit Gambar, 84800 Muar, Johor Darul Ta'zim ",KFC Bukit Gambir,4.1,(658),Operating
Johor,Parit Sulong,"Address: 2, Jalan Siakap, Parit Sulong, 83500 Parit Sulong, Johor ",KFC Parit Sulong,4.0,(317),Operating
Johor,Ayer Hitam,"Address: No. 1 & 2, Jln Bandar Baru 1, 86100 Ayer Hitam, Johor Darul Ta'zim ",KFC Bandar Baru Ayer Hitam Johor,4.0,(946),Operating
Johor,Sri Gading,"Address: Lot 6559, Shell, Batu 11, Jln Kluang, Mukim Sri Gading, 86400 Parit Raja, Johor ",KFC Shell Parit Raja,3.9,(606),Operating
Johor,Sri Gading,"Address: Lot PTD 55587, Jalan Murni 1, Taman Murni, 83000 Batu Pahat, Johor ",KFC Batu Pahat DT,3.9,(936),Operating
Johor,Sri Gading,"Address: 75, Jalan Rugayah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim ",KFC Batu Pahat 1,4.2,(963),Operating
Johor,Sri Gading,"Address: 2, Jalan Siakap, Parit Sulong, 83500 Parit Sulong, Johor ",KFC Parit Sulong,4.0,(317),Operating
Johor,Sri Gading,"Address: 2, Jalan Kundang 1, Taman Bukit Pasir, 83000 Batu Pahat, Johor Darul Ta'zim ","KFC Bukit Pasir, BP3",3.9,(603),Operating
Johor,Batu Pahat,"Address: Lot PTD 55587, Jalan Murni 1, Taman Murni, 83000 Batu Pahat, Johor ",KFC Batu Pahat DT,3.9,(936),Operating
Johor,Batu Pahat,"Address: 75, Jalan Rugayah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim ",KFC Batu Pahat 1,4.2,(963),Operating
