Store,State,Area,Count,Duration
KFC,Perak,Parit,5,36.1
KFC,Perak,Kampar,4,32.84
KFC,Perak,Gopeng,2,29.17
KFC,Perak,Tapah,2,28.5
KFC,Perak,Pasir Salak,13,55.47
KFC,Perak,Lumut,1,26.85
KFC,Perak,Bagan Datuk,2,28.22
KFC,Perak,Teluk Intan,2,28.66
KFC,Perak,Tanjong Malim,2,29.4
KFC,Negeri Sembilan,Jelebu,1,28.11
KFC,Negeri Sembilan,Jempol,2,32.43
KFC,Negeri Sembilan,Seremban,14,69.82
KFC,Negeri Sembilan,Kuala Pilah,1,26.74
KFC,Negeri Sembilan,Rasah,3,31.66
KFC,Negeri Sembilan,Rembau,1,26.48
KFC,Negeri Sembilan,Port Dickson,3,83.62
KFC,Negeri Sembilan,Tampin,1,27.7
KFC,Pahang,Cameron Highlands,1,26.64
KFC,Pahang,Lipis,1,26.57
KFC,Pahang,Raub,2,29.27
KFC,Pahang,Jerantut,1,26.98
KFC,Pahang,Indera Mahkota,2,29.3
KFC,Pahang,Kuantan,17,1659.52
KFC,Pahang,Paya Besar,1,26.51
KFC,Pahang,Pekan,2,28.62
KFC,Pahang,Maran,1,27.48
KFC,Pahang,Kuala Krau,8,43.58
KFC,Pahang,Temerloh,2,28.92
KFC,Pahang,Bentong,3,30.35
KFC,Pahang,Bera,9,44.32
KFC,Pahang,Rompin,1,27.29
KFC,Perak,Gerik,1,26.09
KFC,Perak,Lenggong,12,54.7
KFC,Perak,Larut,4,35.24
KFC,Perak,Parit Buntar,3,33.41
KFC,Perak,Bagan Serai,1,26.45
KFC,Perak,Bukit Gantang,5,37.07
KFC,Perak,Taiping,6,39.01
KFC,Perak,Padang Rengas,23,89.5
KFC,Perak,Sungai Siput,1,26.33
KFC,Perak,Tambun,1,26.39
KFC,Perak,Ipoh Timor,5,36.64
KFC,Perak,Ipoh Barat,15,62.69
KFC,Perak,Batu Gajah,1,28.09
KFC,Perak,Kuala Kangsar,2,30.17
KFC,Perak,Beruas,1,26.24
KFC,Perak,Parit,5,36.1
KFC,Perak,Kampar,4,32.84
KFC,Perak,Gopeng,2,29.17
KFC,Perak,Tapah,2,28.5
KFC,Perak,Pasir Salak,13,55.47
KFC,Perak,Lumut,1,26.85
KFC,Perak,Bagan Datuk,2,28.22
KFC,Perak,Teluk Intan,2,28.66
KFC,Perak,Tanjong Malim,2,29.4
KFC,Negeri Sembilan,Jelebu,1,28.11
KFC,Negeri Sembilan,Jempol,2,32.43
KFC,Negeri Sembilan,Seremban,14,69.82
KFC,Negeri Sembilan,Kuala Pilah,1,26.74
KFC,Negeri Sembilan,Rasah,3,31.66
KFC,Negeri Sembilan,Rembau,1,26.48
KFC,Negeri Sembilan,Port Dickson,3,83.62
KFC,Negeri Sembilan,Tampin,1,27.7
KFC,Pahang,Cameron Highlands,1,26.64
KFC,Pahang,Lipis,1,26.57
KFC,Pahang,Raub,2,29.27
KFC,Pahang,Jerantut,1,26.98
KFC,Pahang,Indera Mahkota,2,29.3
KFC,Pahang,Kuantan,17,1659.52
KFC,Pahang,Paya Besar,1,26.51
KFC,Pahang,Pekan,2,28.62
KFC,Pahang,Maran,1,27.48
KFC,Pahang,Kuala Krau,8,43.58
KFC,Pahang,Temerloh,2,28.92
KFC,Pahang,Bentong,3,30.35
KFC,Pahang,Bera,9,44.32
KFC,Pahang,Rompin,1,27.29
KFC,Perak,Gerik,1,26.09
KFC,Perak,Lenggong,12,54.7
KFC,Perak,Larut,4,35.24
KFC,Perak,Parit Buntar,3,33.41
KFC,Perak,Bagan Serai,1,26.45
KFC,Perak,Bukit Gantang,5,37.07
KFC,Perak,Taiping,6,39.01
KFC,Perak,Padang Rengas,23,89.5
KFC,Perak,Sungai Siput,1,26.33
KFC,Perak,Tambun,1,26.39
KFC,Perak,Ipoh Timor,5,36.64
KFC,Perak,Ipoh Barat,15,62.69
KFC,Perak,Batu Gajah,1,28.09
KFC,Perak,Kuala Kangsar,2,30.17
KFC,Perak,Beruas,1,26.24
KFC,Perak,Parit,5,36.1
KFC,Perak,Kampar,4,32.84
KFC,Perak,Gopeng,2,29.17
KFC,Perak,Tapah,2,28.5
KFC,Perak,Pasir Salak,13,55.47
KFC,Perak,Lumut,1,26.85
KFC,Perak,Bagan Datuk,2,28.22
KFC,Perak,Teluk Intan,2,28.66
KFC,Perak,Tanjong Malim,2,29.4
KFC,Pulau Pinang,Kepala Batas,3,32.42
KFC,Pulau Pinang,Tasek Gelugor,20,76.89
KFC,Pulau Pinang,Bagan,7,41.01
KFC,Pulau Pinang,Permatang Pauh,3,33.16
KFC,Pulau Pinang,Bukit Mertajam,10,49.99
KFC,Pulau Pinang,Batu Kawan,2,30.95
KFC,Pulau Pinang,Nibong Tebal,1,26.48
KFC,Pulau Pinang,Bukit Bendera,16,63.54
KFC,Pulau Pinang,Tanjong,2,29.99
KFC,Pulau Pinang,Jelutong,7,40.81
KFC,Pulau Pinang,Bukit Gelugor,1,26.57
KFC,Pulau Pinang,Bayan Baru,4,33.63
KFC,Pulau Pinang,Balik Pulau,2,29.84
KFC,Negeri Sembilan,Jelebu,1,28.11
KFC,Negeri Sembilan,Jempol,2,32.43
KFC,Negeri Sembilan,Seremban,14,69.82
KFC,Negeri Sembilan,Kuala Pilah,1,26.74
KFC,Negeri Sembilan,Rasah,3,31.66
KFC,Negeri Sembilan,Rembau,1,26.48
KFC,Negeri Sembilan,Port Dickson,3,83.62
KFC,Negeri Sembilan,Tampin,1,27.7
KFC,Pahang,Cameron Highlands,1,26.64
KFC,Pahang,Lipis,1,26.57
KFC,Pahang,Raub,2,29.27
KFC,Pahang,Jerantut,1,26.98
KFC,Pahang,Indera Mahkota,2,29.3
KFC,Pahang,Kuantan,17,1659.52
KFC,Pahang,Paya Besar,1,26.51
KFC,Pahang,Pekan,2,28.62
KFC,Pahang,Maran,1,27.48
KFC,Pahang,Kuala Krau,8,43.58
KFC,Pahang,Temerloh,2,28.92
KFC,Pahang,Bentong,3,30.35
KFC,Pahang,Bera,9,44.32
KFC,Pahang,Rompin,1,27.29
KFC,Perak,Gerik,1,26.09
KFC,Perak,Lenggong,12,54.7
KFC,Perak,Larut,4,35.24
KFC,Perak,Parit Buntar,3,33.41
KFC,Perak,Bagan Serai,1,26.45
KFC,Perak,Bukit Gantang,5,37.07
KFC,Perak,Taiping,6,39.01
KFC,Perak,Padang Rengas,23,89.5
KFC,Perak,Sungai Siput,1,26.33
KFC,Perak,Tambun,1,26.39
KFC,Perak,Ipoh Timor,5,36.64
KFC,Perak,Ipoh Barat,15,62.69
KFC,Perak,Batu Gajah,1,28.09
KFC,Perak,Kuala Kangsar,2,30.17
KFC,Perak,Beruas,1,26.24
KFC,Perak,Parit,5,36.1
KFC,Perak,Kampar,4,32.84
KFC,Perak,Gopeng,2,29.17
KFC,Perak,Tapah,2,28.5
KFC,Perak,Pasir Salak,13,55.47
KFC,Perak,Lumut,1,26.85
KFC,Perak,Bagan Datuk,2,28.22
KFC,Perak,Teluk Intan,2,28.66
KFC,Perak,Tanjong Malim,2,29.4
KFC,Pulau Pinang,Kepala Batas,3,32.42
KFC,Pulau Pinang,Tasek Gelugor,20,76.89
KFC,Pulau Pinang,Bagan,7,41.01
KFC,Pulau Pinang,Permatang Pauh,3,33.16
KFC,Pulau Pinang,Bukit Mertajam,10,49.99
KFC,Pulau Pinang,Batu Kawan,2,30.95
KFC,Pulau Pinang,Nibong Tebal,1,26.48
KFC,Pulau Pinang,Bukit Bendera,16,63.54
KFC,Pulau Pinang,Tanjong,2,29.99
KFC,Pulau Pinang,Jelutong,7,40.81
KFC,Pulau Pinang,Bukit Gelugor,1,26.57
KFC,Pulau Pinang,Bayan Baru,4,33.63
KFC,Pulau Pinang,Balik Pulau,2,29.84
KFC,Sabah,Kudat,1,26.4
KFC,Sabah,Kota Marudu,2,29.27
KFC,Sabah,Kota Belud,2,28.67
KFC,Sabah,Tuaran,3,31.09
KFC,Sabah,Sepanggar,2,28.52
KFC,Sabah,Kota Kinabalu,35,132.59
KFC,Sabah,Putatan,1,26.7
KFC,Sabah,Penampang,3,32.54
KFC,Sabah,Papar,3,31.01
KFC,Sabah,Kimanis,13,55.46
KFC,Sabah,Beaufort,1,26.18
KFC,Sabah,Sipitang,1,26.73
KFC,Sabah,Ranau,2,28.68
KFC,Sabah,Keningau,2,29.72
KFC,Sabah,Tenom,1,26.17
KFC,Sabah,Pensiangan,22,85.44
KFC,Sabah,Beluran,2,30.67
KFC,Sabah,Libaran,1,26.22
KFC,Sabah,Batu Sapi,13,56.18
KFC,Sabah,Sandakan,6,38.54
KFC,Sabah,Kinabatangan,2,28.71
KFC,Sabah,Lahad Datu,4,33.42
KFC,Sabah,Semporna,2,28.62
KFC,Sabah,Tawau,10,48.41
KFC,Sabah,Kalabakan,15,63.26
KFC,Negeri Sembilan,Jelebu,1,28.11
KFC,Negeri Sembilan,Jempol,2,32.43
KFC,Negeri Sembilan,Seremban,14,69.82
KFC,Negeri Sembilan,Kuala Pilah,1,26.74
KFC,Negeri Sembilan,Rasah,3,31.66
KFC,Negeri Sembilan,Rembau,1,26.48
KFC,Negeri Sembilan,Port Dickson,3,83.62
KFC,Negeri Sembilan,Tampin,1,27.7
KFC,Pahang,Cameron Highlands,1,26.64
KFC,Pahang,Lipis,1,26.57
KFC,Pahang,Raub,2,29.27
KFC,Pahang,Jerantut,1,26.98
KFC,Pahang,Indera Mahkota,2,29.3
KFC,Pahang,Kuantan,17,1659.52
KFC,Pahang,Paya Besar,1,26.51
KFC,Pahang,Pekan,2,28.62
KFC,Pahang,Maran,1,27.48
KFC,Pahang,Kuala Krau,8,43.58
KFC,Pahang,Temerloh,2,28.92
KFC,Pahang,Bentong,3,30.35
KFC,Pahang,Bera,9,44.32
KFC,Pahang,Rompin,1,27.29
KFC,Perak,Gerik,1,26.09
KFC,Perak,Lenggong,12,54.7
KFC,Perak,Larut,4,35.24
KFC,Perak,Parit Buntar,3,33.41
KFC,Perak,Bagan Serai,1,26.45
KFC,Perak,Bukit Gantang,5,37.07
KFC,Perak,Taiping,6,39.01
KFC,Perak,Padang Rengas,23,89.5
KFC,Perak,Sungai Siput,1,26.33
KFC,Perak,Tambun,1,26.39
